pep_id,Author,BDFL-Delegate,Created,Created_dt,Discussions-To,Last-Modified,PEP,Post-History,Python-Version,Replaces,Requires,Resolution,Sponsor,Status,Superseded-By,Title,Type,Version
0515,"Georg Brandl, Serhiy Storchaka",,10-Feb-2016,2016-02-10 00:00:00,,,515,"10-Feb-2016, 11-Feb-2016",3.6,,,,,Final,,Underscores in Numeric Literals,Standards Track,
0483,"Guido van Rossum <guido at python.org>, Ivan Levkivskyi <levkivskyi at gmail.com>",,19-Dec-2014,2014-12-19 00:00:00,Python-Ideas <python-ideas at python.org>,,483,,,,,,,Final,,The Theory of Type Hints,Informational,
0403,Nick Coghlan <ncoghlan at gmail.com>,,2011-10-13,2011-10-13 00:00:00,,,403,2011-10-13,3.4,,,TBD,,Deferred,,"General purpose decorator clause (aka ""@in"" clause)",Standards Track,
0268,gstein at lyra.org (Greg Stein),,20-Aug-2001,2001-08-20 00:00:00,,,268,21-Aug-2001,2.x,,,,,Rejected,,Extended HTTP functionality and WebDAV,Standards Track,
0244,martin at v.loewis.de (Martin von Löwis),,20-Mar-2001,2001-03-20 00:00:00,,,244,,2.1,,,,,Rejected,,The directive statement,Standards Track,
0511,Victor Stinner <vstinner at redhat.com>,,4-January-2016,2016-01-04 00:00:00,,,511,,3.6,,,,,Rejected,,API for code transformers,Standards Track,
0578,Steve Dower <steve.dower at python.org>,,16-Jun-2018,2018-06-16 00:00:00,,,578,,3.8,,,,,Draft,,Python Runtime Audit Hooks,Standards Track,
3001,Georg Brandl <georg at python.org>,,05-Apr-2006,2006-04-05 00:00:00,,,3001,,,,,,,Withdrawn,,Procedure for reviewing and improving standard library modules,Process,
0297,mal at lemburg.com (Marc-André Lemburg),,19-Jul-2001,2001-07-19 00:00:00,,,297,,2.6,,,,,Rejected,,Support for System Upgrades,Standards Track,
0453,"Donald Stufft <donald at stufft.io>,
Nick Coghlan <ncoghlan at gmail.com>",Martin von Löwis,10-Aug-2013,2013-08-10 00:00:00,,,453,"30-Aug-2013, 15-Sep-2013, 18-Sep-2013, 19-Sep-2013,
23-Sep-2013, 29-Sep-2013, 13-Oct-2013, 20-Oct-2013",,,,https//mail.python.org/pipermail/python-dev/2013-October/129810.html,,Final,,Explicit bootstrapping of pip in Python installations,Standards Track,
0341,Georg Brandl <georg at python.org>,,04-May-2005,2005-05-04 00:00:00,,,341,,,,,,,Final,,Unifying try-except and try-finally,Standards Track,
3103,guido at python.org (Guido van Rossum),,25-Jun-2006,2006-06-25 00:00:00,,,3103,26-Jun-2006,3.0,,,,,Rejected,,A Switch/Case Statement,Standards Track,
0401,"Barry Warsaw, Brett Cannon",,01-Apr-2009,2009-04-01 00:00:00,,"$Date 2009-04-01 000000 -0400 (Wed, 1 Apr 2009)$",401,01-Apr-2009,,,,,,April Fool!,,BDFL Retirement,Process,
0482,Łukasz Langa <lukasz at python.org>,,08-Jan-2015,2015-01-08 00:00:00,Python-Ideas <python-ideas at python.org>,,482,,,,,,,Draft,,Literature Overview for Type Hints,Informational,
0397,"Mark Hammond <mhammond at skippinet.com.au>,
Martin v. Löwis <martin at v.loewis.de>",,15-Mar-2011,2011-03-15 00:00:00,,2012/06/19 151349,397,"21-July-2011, 17-May-2011, 15-Mar-2011",,,,https//mail.python.org/pipermail/python-dev/2012-June/120505.html,,Final,,Python launcher for Windows,Standards Track,a57419aee37d
0303,Thomas Bellman <bellman+pep-divmod at lysator.liu.se>,,31-Dec-2002,2002-12-31 00:00:00,,,303,,2.3,,,,,Rejected,,Extend divmod() for Multiple Divisors,Standards Track,
3106,Guido van Rossum,,19-Dec-2006,2006-12-19 00:00:00,,,3106,,,,,,,Final,,"Revamping dict.keys(), .values() and .items()",Standards Track,
0256,David Goodger <goodger at python.org>,,01-Jun-2001,2001-06-01 00:00:00,<doc-sig at python.org>,,256,13-Jun-2001,,,,,,Rejected,,Docstring Processing System Framework,Standards Track,
0543,"Cory Benfield <cory at lukasa.co.uk>,
Christian Heimes <christian at python.org>",,17-Oct-2016,2016-10-17 00:00:00,,,543,"11-Jan-2017, 19-Jan-2017, 02-Feb-2017, 09-Feb-2017",3.7,,,,,Draft,,A Unified TLS API for Python,Standards Track,
3099,Georg Brandl <georg at python.org>,,04-Apr-2006,2006-04-04 00:00:00,,,3099,,,,,,,Final,,Things that will Not Change in Python 3000,Process,
0205,"Fred L. Drake, Jr. <fred at fdrake.net>",,,,,,205,11-Jan-2001,2.1,,,,,Final,,Weak References,Standards Track,
0204,thomas at python.org (Thomas Wouters),,14-Jul-2000,2000-07-14 00:00:00,,,204,,2.0,,,,,Rejected,,Range Literals,Standards Track,
0287,David Goodger <goodger at python.org>,,25-Mar-2002,2002-03-25 00:00:00,<doc-sig at python.org>,,287,02-Apr-2002,,216,,,,Active,,reStructuredText Docstring Format,Informational,
0485,Christopher Barker <Chris.Barker at noaa.gov>,,20-Jan-2015,2015-01-20 00:00:00,,,485,,3.5,,,https//mail.python.org/pipermail/python-dev/2015-February/138598.html,,Final,,A Function for testing approximate equality,Standards Track,
0263,"mal at lemburg.com (Marc-André Lemburg),
martin at v.loewis.de (Martin von Löwis)",,06-Jun-2001,2001-06-06 00:00:00,,,263,,2.3,,,,,Final,,Defining Python Source Code Encodings,Standards Track,
0471,Ben Hoyt <benhoyt at gmail.com>,Victor Stinner <vstinner at redhat.com>,30-May-2014,2014-05-30 00:00:00,,,471,"27-Jun-2014, 8-Jul-2014, 14-Jul-2014",3.5,,,,,Final,,os.scandir() function -- a better and faster directory iterator,Standards Track,
0202,barry at python.org (Barry Warsaw),,13-Jul-2000,2000-07-13 00:00:00,,,202,,2.0,,,,,Final,,List Comprehensions,Standards Track,
0529,Steve Dower <steve.dower at python.org>,,27-Aug-2016,2016-08-27 00:00:00,,,529,"01-Sep-2016, 04-Sep-2016",3.6,,,https//mail.python.org/pipermail/python-dev/2016-September/146277.html,,Final,,Change Windows filesystem encoding to UTF-8,Standards Track,
0331,Christian R. Reis <kiko at async.com.br>,,19-Jul-2003,2003-07-19 00:00:00,,,331,"21-Jul-2003, 13-Aug-2003, 18-Jun-2004",2.4,,,,,Final,,Locale-Independent Float/String Conversions,Standards Track,
